"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
1457	3.5e+07	"copenhagen inuit comet arctic snow"	"en"	"Smilla's Sense of Snow"	5.419181	1997-02-13	0	121	6.6	60	"Drama"	1997	2	13	"Julia Ormond"	"female"	"Bille"	"female"
547	8.2e+07	"brothel fantasy asylum reality escape"	"en"	"Sucker Punch"	39.127082	2011-03-24	89792502	110	5.9	1623	"Thriller"	2011	3	24	"Emily Browning"	"female"	"Zack"	"male"
4188	1800000	NA	"en"	"Dysfunctional Friends"	0.21544	2012-02-03	0	101	5	4	"Comedy"	2012	2	3	"Stacey Dash"	"female"	"Corey"	"male"
4059	0	"coming out arranged marriage gay relationship"	"en"	"Chicken Tikka Masala"	0.258413	2005-04-22	0	90	3.5	5	"Comedy"	2005	4	22	"Chris Bisson"	"male"	"Harmage"	NA
1549	3e+07	"dead wish vampire black humor uncle eccentric"	"en"	"The Addams Family"	37.179547	1991-11-22	191502426	99	6.7	848	"Comedy"	1991	11	22	"Ra\u00fal Juli\u00e1"	NA	"Barry"	"male"
1182	4e+07	"undercover nanny computer virus stress undercover agent"	"en"	"Big Momma's House 2"	17.61292	2006-01-26	138259062	99	5.4	371	"Comedy"	2006	1	26	"Martin Lawrence"	"male"	"John"	"male"
3652	5e+06	NA	"en"	"Decoys"	3.05434	2004-02-27	0	95	4.7	33	"Thriller"	2004	2	27	"Kim Poirier"	"female"	"Matthew"	"male"
3457	6e+06	"supermarket heart attack ambition daughter wrestling"	"en"	"The Wrestler"	40.196514	2008-09-07	44703995	109	7.3	1000	"Drama"	2008	9	7	"Mickey Rourke"	"male"	"Darren"	"male"
2709	0	"painter"	"en"	"Mr. Turner"	9.242554	2014-10-31	5405500	150	6.3	204	"Drama"	2014	10	31	"Timothy Spall"	"male"	"Mike"	"male"
2937	2.4e+07	"manager alcohol races mountains gondola"	"en"	"Out Cold"	4.12064	2001-11-21	14782676	89	5.8	53	"Comedy"	2001	11	21	"Jason London"	"male"	"Brendan"	"male"
907	5e+07	"love letter new hampshire ferrari liar city country contrast"	"en"	"Mr. Deeds"	18.121404	2002-06-28	171269535	96	5.6	644	"Comedy"	2002	6	28	"Adam Sandler"	"male"	"Steven"	"male"
267	1.3e+08	"crusade epic knight swordsman order of the templars"	"en"	"Kingdom of Heaven"	44.490453	2005-05-03	211643158	144	6.6	1157	"Drama"	2005	5	3	"Orlando Bloom"	"male"	"Ridley"	"male"
1946	2.5e+07	"police brutality organized crime policeman illegal drugs murder investigation"	"en"	"The Bad Lieutenant: Port of Call - New Orleans"	17.339852	2009-09-11	10589102	122	6	326	"Drama"	2009	9	11	"Nicolas Cage"	"male"	"Werner"	"male"
2916	0	"musical music high school coming of age teenager"	"en"	"High School Musical 3: Senior Year"	21.801188	2008-10-22	0	116	6.2	821	"Drama"	2008	10	22	"Zac Efron"	"male"	"Kenny"	"male"
4789	0	"addiction recovering drug addict estranged son"	"en"	"Clean"	1.464566	2004-09-01	0	111	6.7	17	"Drama"	2004	9	1	"Maggie Cheung"	"female"	"Olivier"	"male"
2198	2e+07	"usa president anti hero dementia future space"	"en"	"Lockout"	35.232278	2012-04-12	32204030	95	5.8	715	"Thriller"	2012	4	12	"Guy Pearce"	"male"	"Stephen"	"male"
1781	2.8e+07	"based on novel murder mafia private investigator new york city"	"en"	"A Walk Among the Tombstones"	61.309619	2014-09-18	53181600	113	6.2	1131	"Drama"	2014	9	18	"Liam Neeson"	"male"	"Scott"	"male"
3139	9500000	"comedy cheating on partner amusement park summer job carny"	"en"	"Adventureland"	19.978021	2009-04-03	17164377	107	6.4	737	"Comedy"	2009	4	3	"Jesse Eisenberg"	"male"	"Greg"	"male"
2848	0	"birth expectant mother fatherhood baby born woman director"	"en"	"My Baby's Daddy"	4.480167	2004-01-09	51	86	4.3	15	"Comedy"	2004	1	9	"Eddie Griffin"	"male"	"Cheryl"	"female"
324	9.5e+07	"gold horse sword fight"	"en"	"The Road to El Dorado"	37.054554	2000-03-31	76432727	89	7	858	"Comedy"	2000	3	31	"Kenneth Branagh"	"male"	"Don"	"male"
358	1.2e+08	"sea atlantis animation underwater sea monster"	"en"	"Atlantis: The Lost Empire"	51.548589	2001-06-02	186053725	95	6.7	1224	"Adventure"	2001	6	2	"Michael J."	"male"	"Gary"	"male"
1397	0	"church choir hiding place garbage duringcreditsstinger"	"en"	"The Ladykillers"	23.666229	2004-03-25	0	104	6	415	"Comedy"	2004	3	25	"Tom Hanks"	"male"	"Joel"	"male"
2222	2e+07	NA	"en"	"Code Name: The Cleaner"	9.36146	2007-01-05	10337477	84	4.7	78	"Comedy"	2007	1	5	"Cedric the"	"male"	"Les"	"male"
1534	3.1e+07	"small town outbreak exterminator spider bite creature feature"	"en"	"Arachnophobia"	15.895661	1990-08-09	53208180	103	6.2	433	"Comedy"	1990	8	9	"Jeff Daniels"	"male"	"Frank"	"male"
2578	2e+07	"gangster boss wife war change iraq war"	"en"	"The Marine"	7.679336	2006-10-13	22165608	92	5	163	"Drama"	2006	10	13	"John Cena"	"male"	"John"	"male"
2223	2e+07	"gay drag queen mistaken identity"	"en"	"Connie and Carla"	6.102663	2004-04-16	11341016	98	6.4	24	"Comedy"	2004	4	16	"Nia Vardalos"	"female"	"Michael"	"male"
3736	4e+06	"zombie"	"en"	"Survival of the Dead"	10.789912	2010-05-06	0	90	4.6	116	"Fiction"	2010	5	6	"Alan van"	"male"	"George"	"male"
2337	1.8e+07	"new york dancing hip-hop dream dance"	"en"	"Honey"	18.492655	2003-11-24	62646763	94	6	303	"Romance"	2003	11	24	"Jessica Alba"	"female"	"Bille"	"female"
4240	1500000	"parody parallel world"	"en"	"My Name Is Bruce"	7.5591	2007-10-01	173066	86	5.9	107	"Comedy"	2007	10	1	"Bruce Campbell"	"male"	"Bruce"	"male"
307	9e+07	"cia arms dealer sequel rescue mission hospital"	"en"	"The Expendables 3"	61.025639	2014-08-04	206172544	127	6.1	1795	"Thriller"	2014	8	4	"Sylvester Stallone"	"male"	"Patrick"	"male"
2795	12500000	"female nudity graduation serial killer blood slasher"	"en"	"Sorority Row"	8.780512	2009-09-09	27206120	101	5.4	177	"Thriller"	2009	9	9	"Rumer Willis"	"female"	"Stewart"	"male"
47	1.9e+08	"spacecraft friendship sequel futuristic space"	"en"	"Star Trek Into Darkness"	78.291018	2013-05-05	467365246	132	7.4	4418	"Action"	2013	5	5	"Chris Pine"	"male"	"J.J."	NA
3715	0	"robbery miner treachery sundance kid native peoples"	"en"	"Blackthorn"	5.223096	2011-08-31	623528	98	6.6	73	"Action"	2011	8	31	"Sam Shepard"	"male"	"Mateo"	"male"
2680	1.3e+07	"capitalism prime minister argentina margaret thatcher british overseas territory"	"en"	"The Iron Lady"	23.3784	2011-12-30	114956699	105	6.2	527	"Drama"	2011	12	30	"Meryl Streep"	"female"	"Phyllida"	NA
893	5.2e+07	"paris cia undercover explosive pimp"	"en"	"From Paris with Love"	27.916284	2010-02-05	52826594	92	6.1	675	"Thriller"	2010	2	5	"John Travolta"	"male"	"Pierre"	"male"
922	5e+07	"cataclysm code suspense end of the world time capsule"	"en"	"Knowing"	32.693093	2009-03-19	155446362	121	5.9	1486	"Drama"	2009	3	19	"Nicolas Cage"	"male"	"Alex"	"male"
2899	1.9e+07	NA	"zh"	"Legend of a Rabbit"	0.738652	2011-01-01	2570000	89	3	3	"Comedy"	2011	1	1	"Jon Heder"	"male"	"Lijun"	NA
2847	1.2e+07	"friendship high school teenager classmate based on young adult novel"	"en"	"Paper Towns"	64.610671	2015-06-18	85512300	109	6.1	1937	"Drama"	2015	6	18	"Nat Wolff"	"male"	"Jake"	"male"
1966	2.4e+07	"sex doll streaking mouth to mouth resuscitation"	"en"	"Old School"	24.70166	2003-02-21	87055349	91	6.6	541	"Comedy"	2003	2	21	"Luke Wilson"	"male"	"Todd"	"male"
864	5.4e+07	"katana mutation vampire silver superhero"	"en"	"Blade II"	67.169587	2002-03-22	155010032	117	6.2	1528	"Thriller"	2002	3	22	"Wesley Snipes"	"male"	"Guillermo"	"male"
3334	7500000	"sexuality becoming an adult puberty first time oscar award"	"en"	"Juno"	19.782725	2007-12-05	231411584	96	7	2244	"Drama"	2007	12	5	"Ellen Page"	"female"	"Jason"	"male"
2535	1.5e+07	"screenplay film producer auto right and justice liar"	"en"	"Big Fat Liar"	9.125594	2002-02-08	52970014	88	5.6	197	"Comedy"	2002	2	8	"Frankie Muniz"	"male"	"Shawn"	"male"
227	1.17e+08	"spy airport gas station garage pilot"	"en"	"Knight and Day"	44.906918	2010-06-15	261930431	109	5.9	1547	"Comedy"	2010	6	15	"Tom Cruise"	"male"	"James"	"male"
3563	5e+06	"garage poltergeist webcam imaginary friend bathtub"	"en"	"Paranormal Activity 4"	20.326337	2012-10-17	142817992	95	5.2	563	"Horror"	2012	10	17	"Katie Featherston"	"female"	"Henry"	"male"
2090	2e+07	"prison ex-boyfriend support escape lawyer"	"en"	"Bringing Down the House"	8.351385	2003-03-07	132675402	105	5.4	183	"Comedy"	2003	3	7	"Steve Martin"	"male"	"Adam"	"male"
4726	0	"ohio coming of age disabled learning disability birth defect"	"en"	"The Mighty"	5.497682	1998-10-23	0	100	7.1	51	"Drama"	1998	10	23	"Sharon Stone"	"female"	"Peter"	"male"
1422	3e+07	"extraterrestrial technology fbi alien fbi agent duringcreditsstinger"	"en"	"The X Files: I Want to Believe"	25.454549	2008-07-24	68369434	104	5.5	523	"Drama"	2008	7	24	"David Duchovny"	"male"	"Chris"	"male"
1926	1.4e+07	NA	"en"	"The Possession"	21.680424	2012-08-30	85446075	92	5.8	498	"Thriller"	2012	8	30	"Jeffrey Dean"	"male"	"Ole"	"male"
903	5e+07	"friendship love teddy bear toy comes to life wishes come true"	"en"	"Ted"	68.87691	2012-06-29	549368315	106	6.3	4697	"Comedy"	2012	6	29	"Mark Wahlberg"	"male"	"Seth"	"male"
4584	0	NA	"en"	"Love in the Time of Monsters"	0.133619	2014-03-08	0	0	5	2	"Comedy"	2014	3	8	"Kane Hodder"	"male"	"Matt"	"male"
1911	2.8e+07	"shark attack louisiana dirty cop shark aftercreditsstinger"	"en"	"Shark Night"	8.363702	2011-09-02	10126458	91	4.9	132	"Thriller"	2011	9	2	"Sara Paxton"	"female"	"David"	"male"
2842	1.2e+07	"secret obsession paranoia grave haunted house"	"en"	"Stir of Echoes"	6.044161	1999-09-10	21133087	99	6.5	330	"Thriller"	1999	9	10	"Kevin Bacon"	"male"	"David"	"male"
4328	0	"exorcism"	"en"	"The Vatican Exorcisms"	0.447166	2013-05-29	0	0	4.4	11	"Horror"	2013	5	29	"Joe Marino"	"male"	"Joe"	"male"
4353	5e+06	"chile gore jungle extreme violence cannibal"	"en"	"The Green Inferno"	17.845161	2014-09-04	6833445	100	5	349	"Thriller"	2014	9	4	"Lorenza Izzo"	"male"	"Eli"	"male"
562	6e+07	"secret forest rural setting blindness courtship"	"en"	"The Village"	27.491891	2004-07-30	256697520	108	6.2	1071	"Drama"	2004	7	30	"Bryce Dallas"	"male"	"M."	NA
69	1.7e+08	"library clock film director key toy"	"en"	"Hugo"	32.319043	2011-11-22	185770160	126	7	2141	"Drama"	2011	11	22	"Ben Kingsley"	"male"	"Martin"	"male"
4222	0	"secret nightclub pet shop independent film unhappiness"	"en"	"Exotica"	5.446832	1994-09-24	0	103	6.5	64	"Drama"	1994	9	24	"Bruce Greenwood"	"male"	"Atom"	"male"
2703	1.4e+07	"adultery woodstock 1960s"	"en"	"A Walk on the Moon"	6.370267	1999-01-29	0	107	6.2	21	"Drama"	1999	1	29	"Diane Lane"	"female"	"Tony"	"male"
2349	0	"bank restaurant role of women bank robber wife"	"en"	"Small Time Crooks"	11.423533	2000-05-19	0	94	6.4	155	"Comedy"	2000	5	19	"Woody Allen"	"male"	"Woody"	"male"
416	82500000	"regret workaholic heart attack architect dying and death"	"en"	"Click"	41.176631	2006-06-22	237681299	107	6	2104	"Drama"	2006	6	22	"Adam Sandler"	"male"	"Frank"	"male"
2764	0	NA	"en"	"Light It Up"	1.212956	1999-11-04	0	99	6.6	7	"Drama"	1999	11	4	"Usher Raymond"	"male"	"Craig"	"male"
2684	1.4e+07	"vampire half vampire"	"en"	"Vampire in Brooklyn"	6.772615	1995-10-27	19800000	100	4.5	111	"Comedy"	1995	10	27	"Eddie Murphy"	"male"	"Wes"	"male"
3586	5e+06	"paris treasure catacombs scientist singing in a car"	"en"	"As Above, So Below"	26.510558	2014-08-14	40100000	93	6.1	766	"Thriller"	2014	8	14	"Perdita Weeks"	"female"	"John"	"male"
1890	2.5e+07	"sex addiction love mental institution patient psychiatrist"	"en"	"Don Juan DeMarco"	8.870614	1994-10-01	22200000	97	6.2	183	"Drama"	1994	10	1	"Johnny Depp"	"male"	"Jeremy"	"male"
2909	11500000	"suspense"	"en"	"The Cry of the Owl"	4.75919	2009-02-07	0	101	5.5	29	"Drama"	2009	2	7	"Paddy Considine"	"female"	"Jamie"	"female"
3794	4e+06	"spain bar ship drama friends"	"es"	"Mondays in the Sun"	3.663108	2002-09-27	146402	113	7.1	36	"Drama"	2002	9	27	"Javier Bardem"	"male"	"Fernando"	"male"
2050	2.5e+07	"transporter sequel suspense car bank heist"	"en"	"The Transporter Refueled"	25.002715	2015-09-03	72629670	96	5.2	559	"Thriller"	2015	9	3	"Ed Skrein"	"male"	"Camille"	"female"
352	9e+07	"homeland musical training daughter cricket"	"en"	"Mulan"	67.427755	1998-06-18	304320254	88	7.6	2008	"Adventure"	1998	6	18	"Eddie Murphy"	"male"	"Tony"	"male"
1707	2.8e+07	"refugee mass murder habor car journey department store"	"en"	"Dawn of the Dead"	44.529429	2004-03-19	102356381	101	6.8	1016	"Action"	2004	3	19	"Sarah Polley"	"female"	"Zack"	"male"
268	1.33e+08	"brother brother relationship based on novel cat mouse adoption"	"en"	"Stuart Little"	30.475297	1999-12-17	300135367	84	5.8	959	"Comedy"	1999	12	17	"Michael J."	"male"	"Rob"	"male"
4220	1.7e+07	"martial arts kickboxing martial arts tournament reboot thai boxing"	"en"	"Kickboxer: Vengeance"	6.526588	2016-07-14	0	90	4.5	99	"Drama"	2016	7	14	"Alain Moussi"	"male"	"John"	"male"
3771	0	"behind the scenes spa planetarium art imitates life"	"en"	"Love Stinks"	3.347885	1999-09-10	0	94	5.4	11	"Comedy"	1999	9	10	"French Stewart"	"male"	"Jeff"	"male"
2168	2e+07	"small town rancher"	"en"	"Appaloosa"	16.074397	2008-09-12	20211394	115	6.3	299	"Drama"	2008	9	12	"Viggo Mortensen"	"male"	"Ed"	"male"
1060	4.5e+07	"bar musical beautiful woman"	"en"	"Coyote Ugly"	26.79781	2000-07-30	113916474	100	5.8	575	"Comedy"	2000	7	30	"Piper Perabo"	"female"	"David"	"male"
3459	0	"illinois pet shop poodle independent film mockumentary"	"en"	"Best in Show"	10.982255	2000-09-19	0	90	6.7	166	"Comedy"	2000	9	19	"Jay Brazeau"	"male"	"Christopher"	"male"
2864	1.2e+07	"cover-up hedge fund"	"en"	"Arbitrage"	16.40512	2012-09-14	35485056	100	6.1	294	"Drama"	2012	9	14	"Richard Gere"	"male"	"Nicholas"	"male"
1919	0	NA	"fr"	"Fly Me to the Moon"	11.60921	2012-10-29	0	104	5.6	194	"Comedy"	2012	10	29	"Diane Kruger"	"female"	"Pascal"	"male"
4729	0	NA	"en"	"Dude Where's My Dog?"	0.28397	2014-06-12	0	0	0	0	"Family"	2014	6	12	"Gabriela Castillo"	"female"	"Stephen"	"male"
3524	5600000	"religion and supernatural blood sample occult swat team gas mask"	"es"	"[REC]²"	22.341462	2009-09-15	18469680	85	6.4	489	"Thriller"	2009	9	15	"Manuela Velasco"	"female"	"Jaume"	NA
2641	1.5e+07	"assassin tang dynasty ancient china wuxia slow cinema"	"zh"	"The Assassin"	8.142166	2015-08-27	632542	105	6.6	157	"Drama"	2015	8	27	"Shu Qi"	"male"	"Hou"	NA
482	8e+07	"memory sidewalk cafe room key driving a car coastline"	"en"	"Nine"	9.357734	2009-12-03	53825515	112	5.1	165	"Drama"	2009	12	3	"Judi Dench"	"female"	"Rob"	"male"
4311	0	NA	"en"	"Extreme Movie"	8.148187	2008-12-05	0	88	3.9	44	"Comedy"	2008	12	5	"Patrick J."	"male"	"Adam"	"male"
3130	1e+07	"holocaust nazis israeli"	"en"	"Adam Resurrected"	2.574014	2008-08-08	0	106	6.4	22	"Drama"	2008	8	8	"Jeff Goldblum"	"male"	"Paul"	"male"
3881	3200000	"gay loss of mother secret coming out loss of father"	"en"	"Beginners"	11.933449	2010-09-11	5332926	105	6.8	347	"Drama"	2010	9	11	"Ewan McGregor"	"male"	"Mike"	"male"
1907	2.5e+07	"mistake in person dying and death twin brother russian mafia"	"en"	"Maximum Risk"	10.115011	1996-09-13	51702483	100	5.2	101	"Thriller"	1996	9	13	"Jean-Claude Van"	NA	"Ringo"	"male"
421	6.5e+07	"california san francisco killing journalist newspaper"	"en"	"Zodiac"	51.970905	2007-03-02	84785914	157	7.3	2023	"Drama"	2007	3	2	"Jake Gyllenhaal"	"male"	"David"	"male"
2475	1.6e+07	"soulmates new love platonic love lovers girlfriend"	"en"	"Boys and Girls"	9.119797	2000-06-16	20627372	94	5.4	103	"Drama"	2000	6	16	"Freddie Prinze"	"male"	"Robert"	"male"
1137	4e+07	"bounty hunter based on novel romance framed bail jumper"	"en"	"One for the Money"	19.438503	2012-01-26	36893721	91	5.3	388	"Comedy"	2012	1	26	"Katherine Heigl"	"female"	"Julie"	"female"
383	9.2e+07	"wife husband relationship tornado twister oklahoma metereologist"	"en"	"Twister"	32.079995	1996-05-10	494471524	113	6.1	950	"Drama"	1996	5	10	"Helen Hunt"	"female"	"Jan"	"female"
671	5.5e+07	"mountains snow storm hiking climbing snow"	"en"	"Everest"	60.246978	2015-09-10	203427584	121	6.7	1772	"Drama"	2015	9	10	"Jason Clarke"	"male"	"Baltasar"	"male"
190	1.3e+08	"riddle captain treasure liquor treasure hunt"	"en"	"The Adventures of Tintin"	89.938296	2011-10-25	371940071	107	6.7	2061	"Adventure"	2011	10	25	"Jamie Bell"	"female"	"Steven"	"male"
3245	8e+06	"painter father son relationship therapist cancer psychologist"	"en"	"50/50"	33.372828	2011-09-30	39187783	100	7	1261	"Drama"	2011	9	30	"Joseph Gordon-Levitt"	"male"	"Jonathan"	"male"
2181	1.9e+07	"dancing brother brother relationship sexual obsession showdown sheriff"	"en"	"From Dusk Till Dawn"	64.181668	1996-01-19	25836616	108	6.9	1603	"Thriller"	1996	1	19	"George Clooney"	"male"	"Robert"	"male"
3176	0	"best selling author"	"en"	"Breakin' All the Rules"	6.904734	2004-05-14	0	85	5.8	21	"Comedy"	2004	5	14	"Jamie Foxx"	"female"	"Daniel"	"male"
3855	3500000	"climate change documentary"	"en"	"Time to Choose"	1.618138	2015-09-04	0	100	0	0	"Documentary"	2015	9	4	"Oscar Isaac"	"male"	"Charles"	"male"
2092	2e+07	"tv show heavy metal television producer woman director"	"en"	"Wayne's World"	21.815122	1992-02-14	121697323	94	6.5	728	"Comedy"	1992	2	14	"Mike Myers"	"male"	"Penelope"	"female"
2079	2.1e+07	NA	"en"	"Moonlight Mile"	8.982335	2002-09-09	10011050	117	6.5	52	"Drama"	2002	9	9	"Jake Gyllenhaal"	"male"	"Brad"	"male"
1247	4e+07	"murder homicide detective"	"en"	"City By The Sea"	3.476966	2002-09-06	22433915	108	5.7	92	"Drama"	2002	9	6	"Robert De"	"male"	"Michael"	"male"
2884	1.2e+07	"free love hotel lovesickness sexuality kung fu"	"zh"	"2046"	12.664787	2004-05-20	19271312	129	6.9	206	"Drama"	2004	5	20	"Tony Leung"	"male"	"Wong"	"male"
273	9e+07	"brother brother relationship detective car race car thief blackmail"	"en"	"Gone in Sixty Seconds"	52.995628	2000-06-09	237202299	118	6.1	1485	"Thriller"	2000	6	9	"Nicolas Cage"	"male"	"Dominic"	"male"
4376	0	"high school soccer teenager older man younger woman relationship teenage sexuality"	"en"	"Palo Alto"	16.570708	2014-05-09	0	100	6.4	348	"Drama"	2014	5	9	"Emma Roberts"	"female"	"Gia"	"female"
987	5e+07	"house fire extension ladder last day on job"	"en"	"Dream House"	19.267479	2011-09-30	38502340	84	5.8	391	"Drama"	2011	9	30	"Daniel Craig"	"male"	"Jim"	"male"
3420	6500000	"street gang black people rap music hip-hop street war"	"en"	"Boyz n the Hood"	17.705671	1991-07-12	57504069	112	7.4	364	"Drama"	1991	7	12	"Laurence Fishburne"	"male"	"John"	"male"
3271	8e+06	"sex depression existentialism"	"en"	"Anomalisa"	21.024346	2015-12-30	5659286	90	7	459	"Drama"	2015	12	30	"David Thewlis"	"male"	"Charlie"	"male"
1888	2.3e+07	"underdog olympic games ski jump biography sport"	"en"	"Eddie the Eagle"	29.365851	2016-02-26	46152800	106	7.2	661	"Drama"	2016	2	26	"Taron Egerton"	"male"	"Dexter"	"male"
98	2.5e+08	"riddle elves dwarves orcs middle-earth (tolkien)"	"en"	"The Hobbit: An Unexpected Journey"	108.849621	2012-11-26	1021103568	169	7	8297	"Action"	2012	11	26	"Ian McKellen"	"male"	"Peter"	"male"
1483	3.3e+07	"flash mob dance instructor real estate development nike dance company"	"en"	"Step Up Revolution"	29.775441	2012-07-26	140470746	99	6.7	663	"Drama"	2012	7	26	"Kathryn McCormick"	"female"	"Scott"	"male"
135	1.5e+08	"father son relationship victorian england remake rural setting werewolf"	"en"	"The Wolfman"	21.214571	2010-02-11	0	102	5.5	549	"Drama"	2010	2	11	"Benicio del"	"male"	"Joe"	"male"
3700	4500000	"prison women's prison suspense mafia lesbian"	"en"	"Bound"	15.359952	1996-09-13	7011317	108	6.9	198	"Drama"	1996	9	13	"Jennifer Tilly"	"female"	"Lilly"	"female"
4611	0	NA	"en"	"The Big Swap"	0.627763	1998-06-11	0	0	0	0	NA	1998	6	11	"Mark Adams"	"male"	"Niall"	"male"
3289	0	"con man release from prison independent film"	"en"	"The Wendell Baker Story"	1.265683	2005-08-03	0	99	5.2	16	"Drama"	2005	8	3	"Luke Wilson"	"male"	"Luke"	"male"
4324	0	"christian film food"	"en"	"Faith Like Potatoes"	0.147886	2006-10-27	0	97	6	9	"Drama"	2006	10	27	"Frank Rautenbach"	"male"	"Regardt"	NA
2958	10800000	"blood splatter serial killer pig mask nazi jigsaw"	"en"	"Saw V"	32.943848	2008-10-23	113857533	92	5.9	820	"Thriller"	2008	10	23	"Tobin Bell"	"male"	"David"	"male"
4692	0	NA	"en"	"Theresa Is a Mother"	0.036532	2015-09-25	0	105	0	0	"Drama"	2015	9	25	"Edie McClurg"	"female"	"Darren"	"male"
4132	0	"beach wife husband relationship lake camping rottweiler"	"en"	"Eden Lake"	20.362373	2008-09-12	3983997	91	6.7	406	"Thriller"	2008	9	12	"Kelly Reilly"	"female"	"James"	"male"
570	8e+07	"bounty loss of child yellow press fbi baby-snatching"	"en"	"Ransom"	16.411345	1996-11-08	309492681	117	6.4	470	"Thriller"	1996	11	8	"Mel Gibson"	"male"	"Ron"	"male"
2166	2e+07	"adultery winter obsession television new hampshire"	"en"	"To Die For"	12.309715	1995-05-20	21284514	106	6.7	175	"Drama"	1995	5	20	"Nicole Kidman"	"female"	"Gus"	"male"
3670	0	NA	"en"	"Running Forever"	0.028756	2015-10-27	0	88	0	0	"Family"	2015	10	27	NA	NA	NA	NA
4589	0	"independent film"	"en"	"Fabled"	0.003352	2002-01-01	0	84	0	0	"Drama"	2002	1	1	NA	NA	NA	NA
3637	5e+06	"biography"	"en"	"Kill the Messenger"	21.343093	2014-10-09	2450846	112	6.6	355	"Drama"	2014	10	9	"Jeremy Renner"	"male"	"Michael"	"male"
1904	2.5e+07	"gay parents kids relationship custody battle flush yoga"	"en"	"The Next Best Thing"	3.707511	2000-03-03	24362772	108	4.3	29	"Comedy"	2000	3	3	"Madonna Rupert"	"female"	"John"	"male"
3033	2.5e+07	"new york life and death gang war police china town"	"en"	"The Corruptor"	4.068107	1999-03-12	15156200	110	6	57	"Thriller"	1999	3	12	"Mark Wahlberg"	"male"	"James"	"male"
2269	2e+07	"chicago infidelity man-woman relation revenge"	"en"	"Butterfly on a Wheel"	13.118983	2007-07-27	0	95	6.3	130	"Drama"	2007	7	27	"Pierce Brosnan"	"male"	"Mike"	"male"
4606	3e+05	"rap music hip-hop blunt woman director"	"en"	"Tupac: Resurrection"	1.314576	2003-01-23	7808524	112	8	26	"Music"	2003	1	23	"Tupac Amaru"	"male"	"Lauren"	"female"
1603	3e+07	"professor literature love romantic comedy author"	"en"	"Stranger Than Fiction"	32.26789	2006-09-09	53653224	113	7.1	721	"Drama"	2006	9	9	"Will Ferrell"	"male"	"Marc"	"male"
435	7.5e+07	"sequel chipmunk cruise ship overboard"	"en"	"Alvin and the Chipmunks: Chipwrecked"	23.473004	2011-12-14	342695435	87	5.4	484	"Comedy"	2011	12	14	"Jason Lee"	"male"	"Mike"	"male"
2642	1.5e+07	"germany corruption sex based on novel investigation"	"en"	"Buffalo Soldiers"	6.329672	2001-09-08	0	98	6.5	93	"Drama"	2001	9	8	"Joaquin Phoenix"	"male"	"Gregor"	"male"
